doi,level_assigned,level_final,audit,audit_reason,audit_lenses,confidence,level_reason,n_reviews,citations,year,title,authors,journal,type,cap_type,method,section,priority,status
10.36001/phme.2012.v1i1.1423,5,2,DOWNGRADED,"Kulkarni, Celaya, Goebel & Biswas, PHME 2012. I read the full NTRS text (local copy: kulkarni2012.txt). Delivered output is a first-principles degradation model D1 linking thermal-aging time to electrolyte volume loss and hence to capacitance, with a quadratic volume model V_k = th1 + th2*t + th3*t^2 fitted by nonlinear least squares over 14 capacitors and cross-validated on the 15th (Table 1 repo",2,low,"delivers physics-based C/ESR degradation-state models for electrolytic capacitors under thermal overstress; RUL is framed as the enabled study, not the paper's output",1,15,2012,Physics Based Electrolytic Capacitor Degradation Models for Prognostic Studies under Thermal Overstress,Kulkarni Chetan S.; Celaya José R.; Goebel Kai; Biswas Gautam,PHM Society European Conference,journal-article,Al-Cap,Physics-informed/PoF,S2-FailurePhysics,P1,HELD
10.1109/ecce.2009.5316418,2,2,,,0,medium,"Kalman filter estimates capacitor parameters online in a UPS; predictive maintenance is the stated application framing, not the demonstrated output",1,7,2009,Kalman filter used for on line monitoring and predictive maintenance system of aluminium electrolytic capacitors in UPS,Abdennadher K.; Venet P.; Rojat G.; Retif J.M. et al.,2009 IEEE Energy Conversion Congress and Exposition,proceedings-article,Al-Cap,Model-based/Filtering,S4-OnlineCM,P2,NEED_MANUAL
10.1109/picc57976.2023.10142579,2,2,,,0,low,digital-twin replica of the submodule compares modeled and measured behavior to estimate submodule capacitance,1,5,2023,Condition Monitoring of Submodule Capacitors in Modular Multilevel Converter Using Digital Twin,Painuly Manish; Rajendran Saravanakumar; Jena Debashisha,"2023 International Conference on Power, Instrumentation, Control and Computing (PICC)",proceedings-article,NR,Digital-twin,S4-OnlineCM,P2,NEED_MANUAL
10.3390/en15228564,2,2,,,0,high,"abstract states the ANN outputs C and ESR estimates, with health assessed only by user comparison against original values",1,4,2022,Investigation on C and ESR Estimation of DC-Link Capacitor in Maglev Choppers Using Artificial Neural Network,Chen Xiaoyu; Yang Xin; Zhang Yue,Energies,journal-article,NR,Data-driven,S7-DataDriven,P2,OA_PENDING
10.1109/ecce50734.2022.9947826,1,1,,,0,low,"delivers optimal feature/health-indicator selection from converter circuit signals, stopping short of a quantified parameter estimate",1,10,2022,Converter Circuits to Machine Learning: Optimal Feature Selection,Khamis Ahmed K.; Agamy Mohammed,2022 IEEE Energy Conversion Congress and Exposition (ECCE),proceedings-article,NR,Data-driven,S3-HealthIndicators,P3,NEED_MANUAL
10.1109/tia.2002.802922,0,0,,,0,low,a construction/application study of service life; it delivers no in-situ health inference or condition-based life estimate,4,84,2002,The service life of large aluminum electrolytic capacitors: effects of construction and application,Stevens J.L.; Shaffer J.S.; Vandenham J.T.,IEEE Transactions on Industry Applications,journal-article,Al-Cap,Experimental/Physics,S2-FailurePhysics,P2,NEED_MANUAL
10.1109/tdmr.2006.876612,0,0,,,0,medium,"failure-physics study linking corrosion to catastrophic failure; characterisation only, no health inference method",3,76,2006,Linking Corrosion and Catastrophic Failure in Low-Power Metallized Polypropylene Capacitors,Brown R.W.,IEEE Transactions on Device and Materials Reliability,journal-article,Film,Experimental/Physics,S2-FailurePhysics,P2,NEED_MANUAL
10.1109/tpmp.1965.1135396,0,0,,,0,medium,"classic chemistry/mechanism study of Al-cap failure; describes degradation physics, delivers no health inference or estimator",2,32,1965,The Chemistry of Failure of Aluminum Electrolytic Capacitors,Alwitt R.; Hills R.,"IEEE Transactions on Parts, Materials and Packaging",journal-article,Al-Cap,Experimental/Physics,S2-FailurePhysics,P2,NEED_MANUAL
10.1016/j.microrel.2020.113737,0,0,,,0,low,"extracts a lumped thermal RC network for design use; outputs a thermal model, no health inference or degradation parameter",2,11,2020,A method to extract lumped thermal networks of capacitors for reliability oriented design,Delmonte N.; Cabezuelo D.; Kortabarria I.; Santoro D. et al.,Microelectronics Reliability,journal-article,NR,Experimental/Physics,S2-FailurePhysics,P2,NEED_MANUAL
10.1109/tpel.2010.2049377,-1,-1,,,0,medium,"a survey of condition-monitoring techniques, not a method that outputs any health quantity itself",6,1137,2010,Condition Monitoring for Device Reliability in Power Electronic Converters: A Review,Yang Shaoyong; Xiang Dawei; Bryant Angus; Mawby Philip et al.,IEEE Transactions on Power Electronics,journal-article,NR,Other,Background,P2,HELD
10.1109/tia.2014.2308357,-1,-1,,,0,high,"an overview of capacitor reliability, failure mechanisms and lifetime models; delivers no monitoring output of its own",5,1317,2014,Reliability of Capacitors for DC-Link Applications in Power Electronic Converters—An Overview,Wang Huai; Blaabjerg Frede,IEEE Transactions on Industry Applications,journal-article,mixed,Other,S2-FailurePhysics,P1,HELD
10.1109/tia.2011.2124436,-1,-1,,,0,medium,"an industry reliability survey reporting component failure statistics, not a health-inference method",4,1852,2011,An Industry-Based Survey of Reliability in Power Electronic Converters,Shaoyong Yang; Bryant A; Mawby P; Dawei Xiang et al.,IEEE Transactions on Industry Applications,journal-article,NR,Other,Background,P2,NEED_MANUAL
10.1109/tia.2016.2591906,-1,-1,,,0,high,"a review of capacitor condition-monitoring methods; delivers a taxonomy, not a monitoring output",4,262,2016,A Review of the Condition Monitoring of Capacitors in Power Electronic Converters,Soliman Hammam; Wang Huai; Blaabjerg Frede,IEEE Transactions on Industry Applications,journal-article,mixed,Other,S4-OnlineCM,P1,HELD
10.1109/tvt.2012.2206082,-1,-1,,,0,medium,a technology comparison and sizing evaluation of DC-link capacitors for EV drives; no health state is inferred,4,254,2012,Analysis and Evaluation of DC-Link Capacitors for High-Power-Density Electric Vehicle Drive Systems,Huiqing Wen; Weidong Xiao; Xuhui Wen; Armstrong P.,IEEE Transactions on Vehicular Technology,journal-article,mixed,Experimental/Physics,S2-FailurePhysics,P3,NEED_MANUAL
10.1109/tpel.2020.3023469,-1,-1,,,0,high,overview/review of dc-link capacitor CM techniques; surveys methods rather than delivering a PHM output of its own,3,252,2021,An Overview of Condition Monitoring Techniques for Capacitors in DC-Link Applications,Zhao Zhaoyang; Davari Pooya; Lu Weiguo; Wang Huai et al.,IEEE Transactions on Power Electronics,journal-article,mixed,Other,S4-OnlineCM,P1,HELD
10.1109/tpel.2013.2262057,-1,-1,,,0,high,converter topology paper on shrinking dc-link capacitance with a series voltage compensator; no health inference at all,3,210,2014,Use of a Series Voltage Compensator for Reduction of the DC-Link Capacitance in a Capacitor-Supported System,Huai Wang; Chung Henry Shu-Hung; Wenchao Liu,IEEE Transactions on Power Electronics,journal-article,NR,Other,Background,P3,OA_PENDING
10.1109/mei.2010.5383924,-1,-1,,,0,high,historical/technology survey of capacitor types with no health inference or monitoring method,2,250,2010,Historical introduction to capacitor technology,Ho J.; Jow T.R.; Boggs S.,IEEE Electrical Insulation Magazine,journal-article,mixed,Other,Background,P3,NEED_MANUAL
10.1115/ipack2018-8262,-1,-1,,,0,high,review of failure modes and degradation models for film and electrolytic capacitors; surveys rather than delivers a PHM output,2,83,2018,A Review of Degradation Behavior and Modeling of Capacitors,Gupta Anunay; Yadav Om Prakash; DeVoto Douglas; Major Joshua,ASME 2018 International Technical Conference and Exhibition on Packaging and Integration o,proceedings-article,mixed,Other,S2-FailurePhysics,P1,OA_PENDING
10.1109/tste.2014.2347967,-1,-1,,,0,medium,"design-stage performance/technology comparison of electrolytic vs film DC-link capacitors in PV inverters, no health inference from measurement",2,70,2014,Performance Evaluation of Three-Phase Grid-Connected Photovoltaic Inverters Using Electrolytic or Polypropylene Film Capacitors,Karanayil Baburaj; Agelidis Vassilios G.; Pou Josep,IEEE Transactions on Sustainable Energy,journal-article,mixed,Experimental/Physics,Background,P3,NEED_MANUAL
10.1109/access.2020.2989410,-1,-1,,,0,medium,component-agnostic review of prognostics and condition monitoring; no method output of its own,2,68,2020,Review of Health Prognostics and Condition Monitoring of Electronic Components,Bhargava Cherry; Sharma Pardeep Kumar; Senthilkumar Mohan; Padmanaban Sanjeevikumar et al.,IEEE Access,journal-article,mixed,Other,Background,P2,OA_PENDING
10.1007/s00202-004-0265-z,-1,-1,,,0,medium,"empirical equivalent-circuit model of ESR/C versus temperature and aging time; supplies a model, does not infer health from measurements",2,41,2006,Simple model of an electrolytic capacitor taking into account the temperature and aging time,Perisse F.; Venet P.; Rojat G.; Rétif J. M.,Electrical Engineering,journal-article,Al-Cap,Experimental/Physics,S2-FailurePhysics,P2,NEED_MANUAL
10.1016/j.egyr.2021.10.116,-1,-1,,,0,medium,digital-twin framework and prospects paper for metallized film capacitor development; no health capability is actually delivered,1,23,2021,"Digital twin accelerating development of metallized film capacitor: Key issues, framework design and prospects",Zhang Yong-Xin; Feng Qi-Kun; Zhong Shao-Long; Pei Jia-Yao et al.,Energy Reports,journal-article,Film,Digital-twin,S8-PhysicsInformed,P2,NEED_MANUAL
